City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,le vauclin,MQ,82.53,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
239,honiara,SB,77.52,overcast clouds,-9.4333,159.95,Heritage Park Hotel
240,ponta do sol,PT,62.01,few clouds,32.6667,-17.1,Hotel do Campo
241,labuhan,ID,77.0,broken clouds,-6.8844,112.2051,DoubleFAG
242,gamba,GA,79.29,overcast clouds,-2.65,10.0,
243,tuatapere,NZ,53.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
245,roebourne,AU,87.4,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
246,okato,NZ,64.9,clear sky,-39.2,173.8833,Goodin Country Garden
247,inverell,AU,56.66,broken clouds,-29.7833,151.1167,Sapphire City Motor Inn
250,nueva guinea,NI,86.85,few clouds,11.6876,-84.4562,Posadita La Reyna
251,russell,US,72.91,scattered clouds,32.3502,-85.1999,Macs
252,itajobi,BR,88.59,overcast clouds,-21.3181,-49.0544,Bruno Ferreira
253,misantla,MX,79.77,clear sky,19.9333,-96.8333,Hotel Hacienda Prom
254,mudon,MM,73.9,broken clouds,16.2578,97.7164,Motel Mudon
256,wanning,CN,71.87,overcast clouds,18.8003,110.3967,Paradise Hotel
257,tadine,NC,79.3,overcast clouds,-21.55,167.8833,
259,salisbury,GB,57.42,overcast clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
261,east london,ZA,71.04,light rain,-33.0153,27.9116,Tu Casa
262,meulaboh,ID,76.37,overcast clouds,4.1363,96.1285,Kost Pria
265,samarai,PG,79.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
268,koumra,TD,85.55,few clouds,8.9126,17.5539,Yamtoide house koumra
269,letlhakane,BW,73.85,clear sky,-21.4167,25.5833,Motswedi Hotel
270,quatre cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
272,zaraza,VE,87.03,overcast clouds,9.3503,-65.3245,Hotel Zaraza
273,karratha,AU,87.44,broken clouds,-20.7377,116.8463,ibis Styles Karratha
276,saint george,US,56.62,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
279,los llanos de aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
280,flinders,AU,71.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
282,bubaque,GW,78.98,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
283,kampene,CD,64.24,broken clouds,-3.6,26.6667,
288,gat,IL,54.39,broken clouds,31.61,34.7642,OlusHome
291,aldama,MX,81.81,few clouds,22.9167,-98.0667,CASA CANYE
292,lar,IN,55.17,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
294,esna,EG,60.8,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
295,kloulklubed,PW,81.23,light rain,7.0419,134.2556,Storyboard Beach Resort
296,souillac,MU,75.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
301,jasper,US,65.55,overcast clouds,37.2001,-94.3502,Guest House Motel
302,saint-pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
304,south venice,US,83.1,scattered clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
305,meadow lake,US,60.84,few clouds,34.8014,-106.5436,TumbleWeed RV Park
306,menongue,AO,63.46,light rain,-14.6585,17.691,Ritz Lauca
307,beira,MZ,79.81,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
308,vung tau,VN,78.37,few clouds,10.346,107.0843,Seaside Resort
309,diamantino,BR,84.52,overcast clouds,-14.4086,-56.4461,Hotel Delta
310,caceres,ES,53.8,overcast clouds,39.522,-6.3748,Ahc Hoteles
311,torit,SS,86.74,scattered clouds,4.4133,32.5678,Diplomat Guest House
314,garissa,KE,81.43,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
315,riyadh,SA,63.79,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
316,san cristobal,VE,85.42,broken clouds,7.7669,-72.225,Pirineos
317,rio verde de mato grosso,BR,89.53,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
320,fenoarivo,MG,62.67,light intensity drizzle,-18.933,47.4354,Skyfol Ambodiafontsy
321,avera,US,72.93,broken clouds,33.194,-82.5271,
323,kaitangata,NZ,55.92,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
324,rio gallegos,AR,62.91,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
327,plouzane,FR,55.72,mist,48.3833,-4.6167,Lymina
328,sibolga,ID,76.21,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
329,mabamba,TZ,63.9,light rain,-3.5983,30.5019,
330,calabozo,VE,89.2,overcast clouds,8.9242,-67.4293,Hotel Giardini
331,faya,SA,55.94,few clouds,18.3851,42.4509,املاك خالد الشعشوع
332,sorong,ID,78.69,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
333,ugoofaaru,MV,81.19,clear sky,5.6667,73.0,Ungoofaaru Inn
335,steenwijk,NL,55.15,overcast clouds,52.7875,6.1208,Fletcher Hotel-Restaurant Steenwijk
337,geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
338,rio grande,BR,82.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
339,lazaro cardenas,MX,83.55,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
341,edd,ER,78.3,clear sky,13.9297,41.6925,
342,galveston,US,76.17,overcast clouds,29.3669,-94.9669,Crystal Suites
346,gerash,IR,56.3,clear sky,27.6652,54.1371,Sa'adat House Gerash
348,axim,GH,80.17,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
352,tiznit,MA,59.54,clear sky,29.5833,-9.5,
353,luis correia,BR,82.15,overcast clouds,-2.8792,-41.6669,Hotel Amarração
355,huarmey,PE,76.5,overcast clouds,-10.0681,-78.1522,Hotel Miramar
357,zambezi,ZM,65.03,light rain,-13.5432,23.1047,Royal Kutachika Lodge
358,mitu,CO,84.38,heavy intensity rain,1.1983,-70.1733,
359,ouesso,CG,81.16,overcast clouds,1.6136,16.0517,ABENIE Hotel
360,wattegama,LK,67.66,overcast clouds,6.7989,81.4808,
